"Tipo"~"Fecha Evento"~"Fuente"~"Descripcion"~"Referecia"~"Departamento"~"Municipio"
"Violencia armada"~"2013-02-13 00:00:00"~"Vanguardia Valledupar"~" Un frente de las Farc atacó la estación de Policía ubicada en el corregimiento de Media Luna. En el atentado resultó herido el auxiliar Braulio Mendoza Navarro, de un proyectil en el hombro izquierdo. El coronel de la Policía en el Cesar, coronel Juan Pablo Guerrero Vallejo aseguró que este atentado criminal hace parte de un plan pistola e indicó que: Dos o tres personas adelantaron la acción hiriendo a uno de nuestros efectivos y luego emprendieron la fuga. Fuente: Vanguardia Valledupar."~"Vanguardia Valledupar. "~"Cesar"~"San Diego "
"Violencia armada"~"2013-02-19 00:00:00"~"Vanguardia Valledupar"~" Hacia las 10:00 de la mañana, una carga explosiva fue detonada por desconocidos, justo al paso de una patrulla de la Policía Nacional que realizaba la inspección de rutina en el kilómetro 59 de la vía que comunica al corregimiento de Las Vegas, jurisdicción de Chimichagua, con el municipio de Curumaní, Cesar. El artefacto permanecía enterrado a un lado de la carretera y fue activado en momentos en que cuatro uniformados pertenecientes a la Unidad de Reacción Inmediata transitaban por el lugar. Desde el comando de la Policía del Cesar indicaron que los efectivos resultaron ilesos del ataque, aunque en un principio fueron llevados a centros asistenciales cercanos para descartar cualquier lesión. Fuente: Vanguardia Valledupar."~" Vanguardia Valledupar."~"Cesar"~"Curumaní "
"Violencia armada"~"2013-02-19 00:00:00"~"Ejército"~" Durante una operación de control militar de área, efectivos del Batallón Especial Energético y Vial N 3 General Pedro Fortul, localizaron en el municipio de Pailitas, tres trampas mortales instaladas por la cuadrilla 33 Mariscal Antonio Jose de Sucre de las Farc; que pretendían afectar el sistema eléctrico de la Región."~" http://www.ejercito.mil.co/?idcategoria=342482"~"Cesar"~"Pailitas "
"Violencia armada"~"2013-02-20 00:00:00"~"La Nación"~" Mauricio Oviedo se encontraba realizando labores de pesca en el sector conocido como Bocas del Mecaya, cuando resultó herido por una mina antipersona en su pierna izquierda. El campesino fue trasladado hasta el municipio de Solano, donde se le prestó la atención médica primaria, pero por la gravedad de sus heridas debió ser remitido al Comando Aéreo de Combate No. 6, adscrito a la Decimosegunda Brigada, donde se le brindó la atención correspondiente. Luego de esta valoración, el campesino víctima de la mina antipersona tuvo que ser remitido hasta la ciudad de Florencia por vía aérea y trasladado a la clínica Medilaser, donde está siendo tratado. Fuente: La Nación."~"La Nación."~""~""
"Violencia armada"~"2013-02-27 00:00:00"~"El Pilón"~" En un documento que circula por las calles de Valledupar, firmado presuntamente por el frente José Manuel Martínez Quiroz del Ejército de Liberación Nacional, Eln, son amenazadas de muerte varias personalidades de la capital del Cesar, entre las que se destaca el cantante de música vallenata Tomás Alfonso Poncho Zuleta Díaz y José Luis Urón Márquez de la Cámara de Comercio.
El manager del Pulmón de Oro, Joaquín Guillén, dijo a El  Pilón que el artista vallenato no se pronunciará sobre esas amenazas.
En cambio, el Director Ejecutivo de la Cámara de Comercio de Valledupar, José Luis Urón Márquez, quien encabeza la lista de amenazados dijo que a pesar de las intimidaciones seguirá denunciado casos de corrupción y a las organizaciones criminales.
Nosotros primero que todo rechazamos enérgicamente esta forma de intimidación a la población civil, a personajes de la vida departamental y municipal, donde hay empresarios, artistas connotados de la música vallenata, pero igualmente señalar que estas amenazas no nos intimidan, por el contrario nos dan la fortaleza de avanzar en la lucha frontal contra la corrupción el crimen organizado al lado de las instituciones democráticas, dijo el líder gremial.
Además pidió apoyo al Gobierno Nacional para fortalecer la seguridad en esta región azotada por el crimen.
Los otros personajes amenazados son: el exalcalde de Valledupar Luis Fabián Fernández; el excandidato a la alcaldía, Gonzalo Gómez Soto; el excongresista Álvaro Morón Cuello; el comerciante Álvaro Pupo; el empresario del transporte, Reinaldo Carvajal; y los particulares William y Roberto Hadad, Ismael González y Rodrigo Morón Cuello.
El comandante de la Policía Cesar, coronel Juan Pablo Guerrero Vallejo, dijo que tiene sus reservas sobre el documento amenazante y que no se ha corroborado el origen del mismo."~" http://www.elpilon.com.co/inicio/amenazadas-varias-personalidades-de-valledupar/#utm_source=rss&utm_medium=rss&utm_campaign=amenazadas-varias-personalidades-de-valledupar"~"Cesar"~"Valledupar "
